model,status,accuracy,macro_f1,faithfulness_mean_drop,stability_mean_cosine,sensitivity_mean_top_minus_random
ResNet18,metrics loaded,0.9474074074074074,0.945678344150549,0.7885886523921869,0.8721225827932357,0.03659261268176572
ViT Tiny,metrics loaded,0.9861728395061728,0.98562078172016,0.7528083066382123,0.9278905908266704,0.1636379181221249
Vision Mamba,skipped: Vim requires the `mamba-ssm` dependency. Install it with `pip install --no-build-isolation -r requirements-vim.txt`. Original import error: No module named 'mamba_ssm',,,,,
Delta (ViT - ResNet18),computed,0.038765432098765484,0.03994243756961102,-0.035780345753974596,0.055768008033434624,0.12704530544035916
