class_idx,class_name,precision,recall,f1,support
6,PermanentCrop,0.9168975069252078,0.8826666666666667,0.8994565217391305,375
3,Highway,0.9289772727272727,0.872,0.8995873452544704,375
8,River,0.8780487804878049,0.96,0.9171974522292994,375
2,HerbaceousVegetation,0.9067796610169492,0.9511111111111111,0.928416485900217,450
5,Pasture,0.968421052631579,0.92,0.9435897435897436,300
0,AnnualCrop,0.936542669584245,0.9511111111111111,0.9437706725468578,450
4,Industrial,0.9890710382513661,0.9653333333333334,0.9770580296896086,375
9,SeaLake,0.9908675799086758,0.9644444444444444,0.9774774774774775,450
1,Forest,0.9675324675324676,0.9933333333333333,0.9802631578947368,450
7,Residential,0.9932885906040269,0.9866666666666667,0.9899665551839465,450
